year,region,gender,mortality
2016,Сумська,Жінки,16.147449834857515
2017,Сумська,Жінки,15.487555061655666
2018,Сумська,Жінки,15.767898695816871
2019,Сумська,Жінки,15.363697698870155
2020,Сумська,Жінки,16.714990254357794
2021,Сумська,Жінки,19.361349738554967
2005,Тернопільська,Жінки,13.9902320677573
2006,Тернопільська,Жінки,14.017921412185753
2007,Тернопільська,Жінки,14.014293597673483
2008,Тернопільська,Жінки,13.828080014446485
2009,Тернопільська,Жінки,13.62002259732256
2010,Тернопільська,Жінки,13.957494803334805
2011,Тернопільська,Жінки,13.552697061019105
2012,Тернопільська,Жінки,13.469655526706747
2013,Тернопільська,Жінки,13.272995202909609
2014,Тернопільська,Жінки,14.171949723612858
2015,Тернопільська,Жінки,14.004804760473728
2016,Тернопільська,Жінки,13.895387331714854
2017,Тернопільська,Жінки,13.620949945676237
2018,Тернопільська,Жінки,13.656436576184865
2019,Тернопільська,Жінки,13.759020683589386
2020,Тернопільська,Жінки,14.764703425912309
2021,Тернопільська,Жінки,15.726523266649702
2005,Харківська,Жінки,15.411089541990556
2006,Харківська,Жінки,15.270572544736622
2007,Харківська,Жінки,15.1403069143575
2008,Харківська,Жінки,15.124039048727182
2009,Харківська,Жінки,14.698359057242655
2010,Харківська,Жінки,14.916545886504018
2011,Харківська,Жінки,14.012926386047985
2012,Харківська,Жінки,14.112123272888679
2013,Харківська,Жінки,13.901748909950221
2014,Харківська,Жінки,14.722513603881204
2015,Харківська,Жінки,15.186837434642873
2016,Харківська,Жінки,15.052048915713625
2017,Харківська,Жінки,14.712189921754302
2018,Харківська,Жінки,15.230131692612444
2019,Харківська,Жінки,14.496855698416079
2020,Харківська,Жінки,16.01275093345977
2021,Харківська,Жінки,21.016167103984277
2005,Херсонська,Жінки,14.057640268337284
2006,Херсонська,Жінки,14.003874117709495
2007,Херсонська,Жінки,14.209567731047505
2008,Херсонська,Жінки,14.193604879272689
2009,Херсонська,Жінки,14.016869740919292
2010,Херсонська,Жінки,13.976944262652705
2011,Херсонська,Жінки,13.498212514624491
2012,Херсонська,Жінки,13.588803995917335
2013,Херсонська,Жінки,13.964905239996403
2014,Херсонська,Жінки,13.782989671890737
2015,Херсонська,Жінки,14.390852478036303
2016,Херсонська,Жінки,14.568198388924515
2017,Херсонська,Жінки,14.038947556448489
2018,Херсонська,Жінки,14.423608756936144
2019,Херсонська,Жінки,14.289831577051249
2020,Херсонська,Жінки,15.440013094004039
2021,Херсонська,Жінки,19.207499843691959
2005,Хмельницька,Жінки,16.333930997885393
2006,Хмельницька,Жінки,16.290942387739872
2007,Хмельницька,Жінки,15.715134991082593
2008,Хмельницька,Жінки,15.974907397331224
2009,Хмельницька,Жінки,15.710087931562869
2010,Хмельницька,Жінки,15.139207574767894
2011,Хмельницька,Жінки,14.785076467028114
2012,Хмельницька,Жінки,14.9573313522049
2013,Хмельницька,Жінки,15.237248690471288
2014,Хмельницька,Жінки,15.138418809585378
2015,Хмельницька,Жінки,15.131736724726466
2016,Хмельницька,Жінки,14.897116607916729
2017,Хмельницька,Жінки,14.714442038602128
2018,Хмельницька,Жінки,14.612598778907007
2019,Хмельницька,Жінки,14.89442628191372
2020,Хмельницька,Жінки,15.892495368110206
2021,Хмельницька,Жінки,18.467721405535194
2005,Черкаська,Жінки,17.399567823745834
2006,Черкаська,Жінки,16.850735153949643
2007,Черкаська,Жінки,16.998756222350877
2008,Черкаська,Жінки,16.5480765465662
2009,Черкаська,Жінки,16.255908193965073
2010,Черкаська,Жінки,16.399852138307551
2011,Черкаська,Жінки,15.711153398849053
2012,Черкаська,Жінки,15.539919051490241
2013,Черкаська,Жінки,15.847178157834637
2014,Черкаська,Жінки,15.890869789016294
2015,Черкаська,Жінки,15.489447942840007
2016,Черкаська,Жінки,15.824405524026179
2017,Черкаська,Жінки,15.613247567528537
2018,Черкаська,Жінки,15.882974909305251
2019,Черкаська,Жінки,15.703489578928757
2020,Черкаська,Жінки,16.609019172398973
